time	signal1	signal2	signal3	subtr1	subtr2	subtr3
24.156	190.76125	46.26544	13.223	189.56076	46.708079999999995	13.56052
24.167	252.67474	60.19231	16.66038	251.46363000000002	60.633539999999996	16.99581
24.178	308.29821	72.3044	19.51823	307.0781	72.74112	19.85903
24.189	352.77591	81.71367	21.66196	351.54305	82.14568	22.00181
24.2	384.51802	88.24743	23.08135	383.27324999999996	88.68283	23.41116
24.211	404.40406	92.17425	23.86302	403.14392000000004	92.60254	24.18038
24.222	414.17865	93.92446	24.12823	412.90265	94.34026999999999	24.455319999999997
24.233	415.77477	93.88647	23.98725	414.47958	94.29189000000001	24.32405
24.244	411.04413	92.49085	23.53432	409.73232	92.89788	23.87159
24.255	401.41627	90.07379	22.81498	400.08643	90.45715	23.13912
24.266	388.19373	86.89507	21.93893	386.84305	87.26687	22.26656
24.277	372.3139	83.15046	20.95441	370.94014	83.53126999999999	21.27644
24.288	354.66702	79.04025	19.87309	353.27446	79.4115	20.185670000000002
24.299	335.71533	74.66707	18.72832	334.30451	75.04406999999999	19.04454
24.31	316.00425	70.12754	17.55666	314.57428	70.50596999999999	17.8716
24.321	295.86949	65.52227	16.38295	294.42949	65.88207000000001	16.69638
24.332	275.66814	60.90366	15.21069	274.22061	61.263960000000004	15.52238
24.343	255.50155	56.31381	14.04487	254.053	56.685559999999995	14.36939
24.354	235.72987	51.83653	12.89649	234.28405	52.206430000000005	13.22949
24.365	216.45517	47.48508	11.79397	215.01485	47.853950000000005	12.12057
24.376	197.83097	43.27114	10.74013	196.39360000000002	43.63821	11.05166
24.387	180.07222	39.28294	9.74765	178.63616	39.661210000000004	10.05911
24.398	163.26757	35.52314	8.79796	161.83801	35.902429999999995	9.11158
24.409	147.52662	32.01235	7.90793	146.10665	32.407669999999996	8.22859
24.42	132.95276	28.7613	7.09961	131.54262	29.16737	7.42494
24.431	119.63411	25.8095	6.37814	118.23285000000001	26.20317	6.70056
24.442	107.61753	23.15181	5.71975	106.22818000000001	23.54101	6.02341
24.453	96.85329	20.78434	5.13422	95.47181	21.18326	5.43281
24.464	87.27231	18.68995	4.62083	85.89675000000001	19.08075	4.924939999999999
24.475	78.80974	16.83706	4.15958	77.43655000000001	17.240550000000002	4.47586
24.486	71.35485	15.21785	3.75897	69.98965	15.63264	4.08473
24.497	64.76317	13.76803	3.39779	63.40186	14.18231	3.72531
24.508	58.87107	12.47066	3.05956	57.511770000000006	12.904620000000001	3.39355
24.519	53.54086	11.2785	2.76001	52.18575	11.71436	3.1000199999999998
24.53	48.67706	10.21609	2.48778	47.32599	10.640699999999999	2.82706
24.541	44.18628	9.24223	2.23397	42.839189999999995	9.652899999999999	2.58146
24.552	40.02904	8.32772	1.99813	38.68742	8.721169999999999	2.34216
24.563	36.16315	7.45676	1.78113	34.82266	7.8585	2.12743
24.574	32.56196	6.64897	1.57371	31.22483	7.05928	1.9174099999999998
24.585	29.23879	5.91156	1.38699	27.90774	6.313549999999999	1.72147
24.596	26.19976	5.24696	1.2297	24.87171	5.65537	1.55573
