time	signal1	signal2	signal3	subtracted1	subtracted2	subtracted3	nornmalized1	nornmalized2	nornmalized3
2.013	1.78382	0.33216	0.39401	2.28615	0.40414	0.18539	0.00634	0.02109	0.08500
2.024	1.70782	0.32512	0.40371	2.20420	0.38143	0.20121	0.00615	0.02086	0.08558
2.035	1.63932	0.31424	0.41448	2.13209	0.36319	0.21817	0.00598	0.02068	0.08621
2.046	1.57478	0.30453	0.42302	2.06453	0.34850	0.21751	0.00582	0.02053	0.08619
2.057	1.51402	0.30362	0.40229	2.00215	0.35116	0.20214	0.00567	0.02055	0.08562
2.068	1.45575	0.31860	0.38583	1.94411	0.36202	0.18784	0.00554	0.02066	0.08509
2.079	1.40022	0.31325	0.38750	1.88581	0.34545	0.18223	0.00540	0.02050	0.08488
2.090	1.34944	0.32427	0.39789	1.82925	0.36560	0.18190	0.00527	0.02070	0.08487
2.101	1.30073	0.33083	0.40358	1.77716	0.39316	0.19139	0.00514	0.02098	0.08522
2.112	1.25061	0.32720	0.39655	1.72339	0.37787	0.19009	0.00502	0.02082	0.08517
2.123	1.19900	0.33251	0.39730	1.66567	0.39389	0.18481	0.00488	0.02099	0.08498
2.134	1.14310	0.33092	0.39527	1.60495	0.38752	0.18186	0.00474	0.02092	0.08487
2.145	1.08272	0.33909	0.38676	1.53632	0.39784	0.17571	0.00458	0.02103	0.08464
2.156	1.04121	0.35507	0.39094	1.47255	0.42659	0.18867	0.00443	0.02132	0.08512
2.167	1.09417	0.31755	0.33945	1.43884	0.42201	0.18868	0.00435	0.02127	0.08512
2.178	1.24691	0.13334	0.08766	1.41580	0.37525	0.16074	0.00429	0.02080	0.08409
2.189	1.35207	-0.25449	-0.40178	1.37157	0.35031	0.16230	0.00419	0.02054	0.08415
2.200	1.32293	-0.72469	-0.93902	1.31506	0.37603	0.21300	0.00406	0.02081	0.08602
2.211	1.19439	-1.11766	-1.33858	1.25178	0.44272	0.29095	0.00391	0.02148	0.08890
2.222	1.03527	-1.32625	-1.52029	1.18413	0.51344	0.37603	0.00375	0.02220	0.09204
2.233	0.90143	-1.35367	-1.51650	1.12163	0.58436	0.42125	0.00360	0.02291	0.09371
2.244	0.81029	-1.27541	-1.40004	1.06357	0.61056	0.43156	0.00346	0.02318	0.09409
2.255	0.75572	-1.13746	-1.22220	1.01455	0.60876	0.42334	0.00335	0.02316	0.09378
2.266	0.72831	-0.94830	-1.01491	0.97606	0.61468	0.41414	0.00326	0.02322	0.09344
2.277	0.71305	-0.73911	-0.81192	0.94151	0.62850	0.38597	0.00318	0.02336	0.09240
2.288	0.70417	-0.57269	-0.62395	0.91013	0.60585	0.36308	0.00310	0.02313	0.09156
2.299	0.69603	-0.43592	-0.46277	0.88330	0.57825	0.34919	0.00304	0.02285	0.09105
2.310	0.68882	-0.31776	-0.32995	0.86241	0.55008	0.32626	0.00299	0.02257	0.09020
2.321	0.68100	-0.22318	-0.23696	0.84289	0.51958	0.30084	0.00295	0.02226	0.08926
2.332	0.67298	-0.16894	-0.16153	0.82426	0.49741	0.28388	0.00290	0.02203	0.08864
2.343	0.66367	-0.10841	-0.10817	0.80571	0.48037	0.26383	0.00286	0.02186	0.08790
2.354	0.65224	-0.06246	-0.06097	0.78606	0.45529	0.24945	0.00281	0.02161	0.08736
2.365	0.64204	-0.02313	-0.02665	0.77201	0.43629	0.24153	0.00278	0.02142	0.08707
2.376	0.63116	0.00616	-0.00325	0.75952	0.43450	0.23081	0.00275	0.02140	0.08668
2.387	0.61975	0.02043	0.01055	0.74723	0.44320	0.20770	0.00272	0.02149	0.08582
2.398	0.60781	0.03464	0.02081	0.73407	0.44948	0.19348	0.00269	0.02155	0.08530
2.409	0.59577	0.04752	0.03274	0.72118	0.44425	0.19161	0.00266	0.02150	0.08523
2.420	0.58505	0.04590	0.04328	0.70852	0.42771	0.19967	0.00263	0.02133	0.08553
2.431	0.57443	0.04500	0.04423	0.69809	0.42302	0.18963	0.00261	0.02128	0.08516
2.442	0.56169	0.04350	0.04647	0.68771	0.41532	0.18645	0.00258	0.02120	0.08504
2.453	0.55194	0.04678	0.05349	0.67854	0.40756	0.18872	0.00256	0.02112	0.08512
2.464	0.54409	0.04609	0.06037	0.67287	0.39698	0.18485	0.00255	0.02102	0.08498
2.475	0.53341	0.03349	0.06699	0.66341	0.37992	0.18723	0.00252	0.02084	0.08507
2.486	0.52634	0.02698	0.07155	0.65565	0.37256	0.19521	0.00251	0.02077	0.08536
2.497	0.52109	0.02516	0.06764	0.65006	0.36434	0.19691	0.00249	0.02069	0.08543
2.508	0.51110	0.04388	0.04501	0.63906	0.37224	0.17044	0.00247	0.02077	0.08445
2.519	0.50079	0.06264	0.03370	0.62817	0.39801	0.15591	0.00244	0.02103	0.08391
2.530	0.49237	0.05806	0.03819	0.61998	0.40565	0.15191	0.00242	0.02111	0.08376
2.541	0.48143	0.03805	0.03637	0.61000	0.37067	0.14657	0.00240	0.02075	0.08357
2.552	0.47153	0.03350	0.03839	0.59814	0.36033	0.15396	0.00237	0.02065	0.08384
2.563	0.46507	0.03839	0.04455	0.59037	0.36549	0.16209	0.00235	0.02070	0.08414
2.574	0.45856	0.05149	0.03184	0.58305	0.37464	0.15290	0.00233	0.02079	0.08380
2.585	0.45141	0.07547	0.02543	0.57828	0.39951	0.14983	0.00232	0.02104	0.08369
2.596	0.44403	0.07549	0.02726	0.57339	0.39717	0.15189	0.00231	0.02102	0.08376
2.607	0.43765	0.06392	0.03189	0.56962	0.37522	0.15319	0.00230	0.02080	0.08381
2.618	0.43163	0.06219	0.04176	0.56373	0.36829	0.16383	0.00229	0.02073	0.08420
2.629	0.42667	0.04632	0.04907	0.55735	0.36021	0.17502	0.00227	0.02064	0.08462
2.640	0.41965	0.02096	0.05162	0.55112	0.34295	0.17931	0.00226	0.02047	0.08478
2.651	0.41620	0.01946	0.05651	0.54696	0.33618	0.18591	0.00225	0.02040	0.08502
2.662	0.41109	0.02666	0.05613	0.54115	0.34572	0.18940	0.00224	0.02050	0.08515
2.673	0.40673	0.03100	0.06424	0.53633	0.35850	0.20126	0.00222	0.02063	0.08559
2.684	0.40281	0.00797	0.04913	0.53497	0.36189	0.19015	0.00222	0.02066	0.08518
2.695	0.39899	0.00804	0.04661	0.52914	0.36336	0.18829	0.00221	0.02068	0.08511
